Random,ACHP,PHR,AWWGV,ALAP,ANPL,ARD,ADWR,PDMVG,ARL,AWWR,ADWV,PDMRG,row_index,beat_index,source_row_start,source_row_end,bar_index,beat_in_bar,ACHP_norm,ADWR_norm,ADWV_norm,ALAP_norm,ANPL_norm,ARD_norm,ARL_norm,AWWGV_norm,AWWR_norm,PDMRG_norm,PHR_norm,growth_mass,leaf_energy,root_energy,vitality,growth_speed
R1,34.50123742630308,54.56054053611634,1.150894777197921,1284.2369238340275,4.997260165521193,16.276165802656053,1.7070875340936253,18.400779420373755,19.73026745180491,2.958887460074476,0.21315942965540585,57.634284509070945,48.97142857142857,0.0,0.0,99.0,1.0,1.0,0.13138410259158972,0.759296323762938,0.23801446209409619,0.5727495681983923,0.9980074370532938,0.42409818940544786,0.6775854608085976,0.3143267560585989,0.31421264573054386,1.0,0.4380539414935452,0.3880296832245524,0.5466543957300769,0.6982636411450733,0.3864369814578992,0.0
R1,34.498930135938075,54.56069878473081,1.155957610627021,1284.2353309747214,4.9999905914410165,16.279216639109922,1.7049185597880927,18.4035611616916,19.735218314760335,2.9577964769646696,0.21166623013576316,57.63592934056517,151.17142857142858,1.0,100.0,199.0,1.0,2.0,0.13121563610776943,0.7581443410281593,0.23540874976313741,0.5727481101753242,0.9993706728385554,0.42434879537883285,0.6780432432612189,0.3202794525109893,0.3140215343778056,1.0,0.43805790299114394,0.389313810131557,0.5469440086208657,0.6985219359181374,0.38642658656714524,0.00329714112090812
R1,34.49826676506965,54.561446482380134,1.1533696570536311,1284.237353969043,4.999708178715945,16.273535219871945,1.7068609494756786,18.401008747746985,19.733830338821438,2.957974013652788,0.21233119829460326,57.63430508619992,248.65625,2.0,200.0,299.0,1.0,3.0,0.13116720017644184,0.7591759804434365,0.23656915445681106,0.5727499619222902,0.9992296709786495,0.4238821044827884,0.6779149038110648,0.317236630290783,0.3140526341045768,1.0,0.4380766203900441,0.3886950061079678,0.5468950606626256,0.6983305928692625,0.38640012426379927,0.009546845108089012
R1,34.49776393377771,54.56021881547219,1.152313095963594,1284.236630916605,5.002928906225882,16.276449723720138,1.7071564402931607,18.403872379840806,19.734720533180248,2.9595933886620838,0.21417454162222258,57.634703174783155,346.75,3.0,300.0,399.0,1.0,4.0,0.13113048601987418,0.7593329211315566,0.23978588629725373,0.5727493000765579,1.0,0.4241215116371392,0.6779972157959763,0.31599436397085084,0.3143363057268368,1.0,0.438045887738613,0.3890058653072691,0.5470763308404132,0.6984353398095322,0.38640496492156545,0.011298183849218504
R1,34.499157234523864,54.56157872320659,1.1516442533054563,1284.2380125308537,4.997515795782773,16.275401433890693,1.7059753288127628,18.403470227249617,19.732326255345814,2.9588772738454217,0.21162658500553527,57.63481193830081,449.96875,4.0,400.0,499.0,2.0,1.0,0.13123221767929974,0.7587056107803936,0.2353395669089117,0.5727505647365551,0.9981350670753543,0.42403540158270986,0.6777758284561989,0.31520796296160175,0.3142108613729343,1.0,0.4380799308248192,0.3876845379176552,0.5466411862040783,0.6983209518572926,0.38641676518925355,0.008300949151831188
R1,34.501250700203464,54.558503333232615,1.1478518485899927,1284.2355699823595,5.001853182492391,16.2770706184947,1.7076259495660993,18.4001326024071,19.7331441502434,2.958183777780481,0.21305034890364988,57.633087180322335,549.8,5.0,500.0,599.0,2.0,2.0,0.1313850717835729,0.7595822862691998,0.23782411039883927,0.5727483289508611,1.0,0.42417251402343614,0.6778514552581473,0.31074899064661055,0.31408937922541236,0.9999935302561479,0.43800294342092894,0.3867657708662746,0.5471522695629595,0.6983903953871341,0.38643751194896253,0.0007053908243484818
R1,34.501337414662125,54.55860886015353,1.1508624644283183,1284.2369446972264,4.9982679641429595,16.276909130608892,1.704956158366269,18.39874611112672,19.734834198554246,2.9607636026985196,0.21458745938851168,57.63435045857743,641.4705882352941,6.0,600.0,699.0,2.0,3.0,0.13139140322766354,0.7581643103347577,0.24050644969225735,0.5727495872955122,0.9985106065901616,0.4241592488650362,0.6780077258856627,0.3142887638726669,0.31454129623996785,1.0,0.4380055851163725,0.38837054342082844,0.5467823868988199,0.698450865013776,0.3864274217309354,0.02414876186161503
R1,34.4983703290574,54.56033581498662,1.1534609956468762,1284.2358704018102,5.00332005450166,16.279415889408067,1.705262158008646,18.399435196878454,19.739213607819412,2.962948257294664,0.2117114839084979,57.63409152106334,754.4117647058823,7.0,700.0,799.0,2.0,4.0,0.13117476188654617,0.7583268324559131,0.23548771999590679,0.5727486039396736,1.0,0.424365162468865,0.6784126687678411,0.31734402290552927,0.31492398987782727,1.0,0.4380488166318425,0.3885643159767561,0.5470893003388171,0.6986746162477959,0.3864274001777564,0.01048721458722953
R1,34.500803219962556,54.55952994575191,1.152735370639323,1284.2335937624628,4.998946388321373,16.276099448709914,1.7062009380272503,18.40171979746725,19.733756187239724,2.9589875621859307,0.2064830312406231,57.63523653372811,847.6071428571429,8.0,800.0,899.0,3.0,1.0,0.13135239907626728,0.7588254360449131,0.2263637928788019,0.5727465200188444,0.9988493274142227,0.4240927388690092,0.6779080473714403,0.31649085926332843,0.31423018096987076,1.0,0.4380286430015775,0.3863671917693756,0.5468539855849158,0.6983910406092788,0.3864086873444374,0.003074631917009856
R1,34.497883848648,54.560661131896396,1.1546808425286272,1284.2331569759374,4.99892727566885,16.277572611863196,1.7063065154520995,18.400204599864765,19.73383651189652,2.959149830888615,0.21128398585501243,57.63453252542699,945.84375,9.0,900.0,999.0,3.0,2.0,0.13113924158738396,0.7588815101857171,0.2347417132267012,0.5727461202064899,0.9988397849279452,0.4242137494480964,0.6779154746055862,0.3187782747542514,0.3142586061498743,1.0,0.43805696041345615,0.3888616923839402,0.5467874728011219,0.6984303146766635,0.38642968698697083,0.0033404468418753107
R1,34.501732126026944,54.55926894877935,1.14971489579756,1284.2360287868592,4.995962400951472,16.277182553147522,1.7100224432481606,18.401809328104743,19.732811406223878,2.9617878664137667,0.21077270105483686,57.636485299900556,1048.2380952380952,10.0,1000.0,1099.0,3.0,3.0,0.13142022302285,0.7608551087912087,0.2338494941421624,0.5727487489173588,0.9973594945145695,0.42418170871251565,0.6778206880212587,0.3129394941775738,0.3147207201214396,1.0,0.4380221093653522,0.38714992357918493,0.5465028775483088,0.6983827878222582,0.3864202668459997,0.002065936307891654
R1,34.49936475124549,54.55986503637266,1.150427331045278,1284.233204383313,4.99859191150866,16.276062762120517,1.7063469152444728,18.402969561815176,19.736595108722206,2.958714209154662,0.2137522231400234,57.63547338514963,1145.2222222222222,11.0,1100.0,1199.0,3.0,4.0,0.1312473694837523,0.7589029672694566,0.23904891815456267,0.5727461636008103,0.9986723456940346,0.42408972530909383,0.6781705487678132,0.3137771497771581,0.3141822967568969,1.0,0.4380370314522059,0.3879579536960334,0.546778070888999,0.6984951370998534,0.3864234665081108,0.015456863159868453
