segment_id,bar_index,chord_slot,beat_start,beat_end,section,chord_symbol,chord_function,chord_root,chord_pitch_classes,core_pitch_classes,chord_degrees,chord_roles,harmonic_rhythm,growth_mass,vitality,growth_speed,leaf_energy,root_energy,selected_by,score
1,1,0,0.0,8.0,germination,Dm9,i,D,"[2, 5, 9, 0, 4]","[2, 5, 9]","[1, 3, 5, 7, 9]","{'root': 2, 'third': 5, 'fifth': 9, 'seventh': 0, 'ninth': 4}",2.0,0.38067446852504255,0.34831304459917906,0.0053253882722316195,0.4288952891712714,0.5502047479580159,melody_data_progression_score,14.4632
2,3,0,8.0,16.0,germination,Dm9,i,D,"[2, 5, 9, 0, 4]","[2, 5, 9]","[1, 3, 5, 7, 9]","{'root': 2, 'third': 5, 'fifth': 9, 'seventh': 0, 'ninth': 4}",2.0,0.3800038016030805,0.34829561412636517,0.007520528207469894,0.4288189008751753,0.5502401628359518,melody_data_progression_score,13.8127
3,5,0,16.0,24.0,germination,Cmaj7,VII,C,"[0, 4, 7, 11]","[0, 4, 7]","[7, 2, 4, 6]","{'root': 0, 'third': 4, 'fifth': 7, 'seventh': 11}",2.0,0.3804637469907359,0.34830281162741406,0.006528008256697349,0.42878110547021525,0.5502618959916045,melody_data_progression_score,13.8796
4,7,0,24.0,32.0,germination,G9,IV,G,"[7, 11, 2, 5, 9]","[7, 11, 2]","[4, 6, 1, 3, 5]","{'root': 7, 'third': 11, 'fifth': 2, 'seventh': 5, 'ninth': 9}",2.0,0.3802943055311019,0.34833407617580847,0.007273312404226431,0.4289086467024498,0.5502386419742484,melody_data_progression_score,19.5924
5,9,0,32.0,40.0,germination,Dm9,i,D,"[2, 5, 9, 0, 4]","[2, 5, 9]","[1, 3, 5, 7, 9]","{'root': 2, 'third': 5, 'fifth': 9, 'seventh': 0, 'ninth': 4}",2.0,0.3801968632973003,0.3483270709062658,0.008326223813519816,0.42887927380590923,0.5502343725872156,melody_data_progression_score,19.3629
6,11,0,40.0,48.0,germination,Dm9,i,D,"[2, 5, 9, 0, 4]","[2, 5, 9]","[1, 3, 5, 7, 9]","{'root': 2, 'third': 5, 'fifth': 9, 'seventh': 0, 'ninth': 4}",2.0,0.38050941690047035,0.3483066260990489,0.006161295974197993,0.42893508485411247,0.5502044732626435,melody_data_progression_score,15.4631
7,13,0,48.0,56.0,germination,Cmaj7,VII,C,"[0, 4, 7, 11]","[0, 4, 7]","[7, 2, 4, 6]","{'root': 0, 'third': 4, 'fifth': 7, 'seventh': 11}",2.0,0.4144730089064231,0.5060326312801829,0.8070827692115369,0.47217265355290533,0.5366733072223973,melody_data_progression_score,14.0365
8,15,0,56.0,64.0,germination,G9,IV,G,"[7, 11, 2, 5, 9]","[7, 11, 2]","[4, 6, 1, 3, 5]","{'root': 7, 'third': 11, 'fifth': 2, 'seventh': 5, 'ninth': 9}",2.0,0.4480481135519983,0.6637217520041246,0.005811228277148549,0.5152098731078907,0.5231470513635824,melody_data_progression_score,16.3126
9,17,0,64.0,68.0,growth,G9,IV,G,"[7, 11, 2, 5, 9]","[7, 11, 2]","[4, 6, 1, 3, 5]","{'root': 7, 'third': 11, 'fifth': 2, 'seventh': 5, 'ninth': 9}",1.0,0.44770482970500153,0.6637341711642403,0.008106878625257464,0.5152901461018277,0.5231117746561823,melody_data_progression_score,9.7627
10,18,0,68.0,72.0,growth,Dm9,i,D,"[2, 5, 9, 0, 4]","[2, 5, 9]","[1, 3, 5, 7, 9]","{'root': 2, 'third': 5, 'fifth': 9, 'seventh': 0, 'ninth': 4}",1.0,0.44751859195709126,0.6637088166424531,0.011830294073262701,0.5153259274720676,0.5231115118438338,melody_data_progression_score,10.3262
11,19,0,72.0,76.0,growth,G9,IV,G,"[7, 11, 2, 5, 9]","[7, 11, 2]","[4, 6, 1, 3, 5]","{'root': 7, 'third': 11, 'fifth': 2, 'seventh': 5, 'ninth': 9}",1.0,0.44813502369496727,0.6637163985369882,0.010371183976818051,0.5152489434570172,0.5231138591504839,melody_data_progression_score,17.3626
12,20,0,76.0,80.0,growth,Dm9,i,D,"[2, 5, 9, 0, 4]","[2, 5, 9]","[1, 3, 5, 7, 9]","{'root': 2, 'third': 5, 'fifth': 9, 'seventh': 0, 'ninth': 4}",1.0,0.448301938917973,0.6637267501869579,0.007949585887839169,0.5152666377758818,0.5231137757764258,melody_data_progression_score,14.3268
13,21,0,80.0,84.0,growth,Am7,v,A,"[9, 0, 4, 7]","[9, 0, 4]","[5, 7, 2, 4]","{'root': 9, 'third': 0, 'fifth': 4, 'seventh': 7}",1.0,0.4479037530936294,0.663739008987475,0.009736923421593557,0.5152403692449669,0.5231127804800189,melody_data_progression_score,8.1987
14,22,0,84.0,88.0,growth,G6,IV,G,"[7, 11, 2, 4]","[7, 11, 2]","[4, 6, 1, 2]","{'root': 7, 'third': 11, 'fifth': 2, 'seventh': 4, 'sixth': 4}",1.0,0.4478618137435659,0.6637468029619391,0.004079529369876426,0.5154013118743778,0.5231042931978763,melody_data_progression_score,6.9933
15,23,0,88.0,92.0,growth,Dm9,i,D,"[2, 5, 9, 0, 4]","[2, 5, 9]","[1, 3, 5, 7, 9]","{'root': 2, 'third': 5, 'fifth': 9, 'seventh': 0, 'ninth': 4}",1.0,0.4477918555386074,0.6637272147110926,0.007505291325170101,0.5152059093020172,0.5230535217958533,melody_data_progression_score,8.3263
16,24,0,92.0,96.0,growth,G9,IV,G,"[7, 11, 2, 5, 9]","[7, 11, 2]","[4, 6, 1, 3, 5]","{'root': 7, 'third': 11, 'fifth': 2, 'seventh': 5, 'ninth': 9}",1.0,0.4479294213340295,0.6637254623003289,0.005944170542727049,0.5152698842382977,0.5231223590722026,melody_data_progression_score,12.3626
17,25,0,96.0,100.0,growth,Dm9,i,D,"[2, 5, 9, 0, 4]","[2, 5, 9]","[1, 3, 5, 7, 9]","{'root': 2, 'third': 5, 'fifth': 9, 'seventh': 0, 'ninth': 4}",1.0,0.44739978540071307,0.6425644057338297,0.5034746295615767,0.5151955732880636,0.523131125051917,melody_data_progression_score,33.307
18,26,0,100.0,104.0,growth,Cmaj7,VII,C,"[0, 4, 7, 11]","[0, 4, 7]","[7, 2, 4, 6]","{'root': 0, 'third': 4, 'fifth': 7, 'seventh': 11}",1.0,0.4898116356209637,0.43107197544116743,0.7491093571817697,0.4645941948984427,0.6051477752788851,melody_data_progression_score,43.325
